id,term,grade,emp_title,emp_length_years,purpose,loan_status,loan_type
1069283, 36 months,B,costco wholesale corp.,6,other,Fully Paid,Good Loans
1069287, 36 months,A,helicoil,10,credit_card,Fully Paid,Good Loans
1069453, 36 months,A,cognizant technology solutions,5,debt_consolidation,Fully Paid,Good Loans
1069248, 36 months,B,caterpillar inc.,8,debt_consolidation,Charged Off,Bad Loans
1068120, 36 months,B,city of santa monica,9,credit_card,Fully Paid,Good Loans
1069244, 36 months,B,aerotek scientific,0,debt_consolidation,Fully Paid,Good Loans
1069243, 36 months,C,chemat technology inc,4,car,Charged Off,Bad Loans
1069238, 36 months,B,scott & white,1,credit_card,Fully Paid,Good Loans
1069410, 60 months,E,costco,7,debt_consolidation,Charged Off,Bad Loans
1068409, 60 months,E,ca technologies,7,credit_card,Fully Paid,Good Loans
1068487, 36 months,B,netflix,0,debt_consolidation,Fully Paid,Good Loans
1043961, 36 months,B,dcaa,2,credit_card,Fully Paid,Good Loans
1068945, 36 months,D,triple d security,1,debt_consolidation,Fully Paid,Good Loans
1069142, 60 months,B,wrisco,0,debt_consolidation,Fully Paid,Good Loans
1068934, 60 months,D,employer not mentioned,6,small_business,Fully Paid,Good Loans
1069136, 60 months,C,webb candy,0,debt_consolidation,Fully Paid,Good Loans
1068923, 36 months,D,omniplex,0,debt_consolidation,Fully Paid,Good Loans
1069126, 60 months,B,cec entertainment inc,10,debt_consolidation,Charged Off,Bad Loans
1069102, 36 months,B,cpi,7,debt_consolidation,Fully Paid,Good Loans
1069093, 60 months,D,grandma kitchen,5,debt_consolidation,Charged Off,Bad Loans
1069030, 36 months,C,"gen-probe, inc",4,debt_consolidation,Fully Paid,Good Loans
1068906, 60 months,F,autozone,4,small_business,Charged Off,Bad Loans
1069073, 36 months,C,usaf civil service,2,credit_card,Fully Paid,Good Loans
1069043, 60 months,D,dollar tree stores,5,credit_card,Fully Paid,Good Loans
1060981, 36 months,D,"riverside county, california",5,debt_consolidation,Charged Off,Bad Loans
1069071, 36 months,C,insight card services,1,debt_consolidation,Fully Paid,Good Loans
1069070, 36 months,D,genocea biosciences,3,credit_card,Fully Paid,Good Loans
1068893, 36 months,A,model metrics,0,debt_consolidation,Fully Paid,Good Loans
1068882, 36 months,C,boro of butler,10,debt_consolidation,Fully Paid,Good Loans
1069039, 36 months,C,tx army national guard,10,debt_consolidation,Fully Paid,Good Loans
1068416, 60 months,F,cross country travel corp,0,debt_consolidation,Fully Paid,Good Loans
1068997, 36 months,A,segovia's transportion inc.,1,small_business,Fully Paid,Good Loans
1048390, 60 months,E,avmed health plans,10,debt_consolidation,Fully Paid,Good Loans
1068994, 60 months,D,tutor per ini corporation,3,home_improvement,Fully Paid,Good Loans
1068475, 36 months,C,sap,2,credit_card,Fully Paid,Good Loans
1068989, 36 months,B,koi restaurant,6,credit_card,Fully Paid,Good Loans
1068967, 36 months,A,casestack,4,major_purchase,Fully Paid,Good Loans
1068744, 36 months,B,bellflower convalecent hospital,10,credit_card,Fully Paid,Good Loans
1045509, 36 months,B,kaiser permanente,2,debt_consolidation,Fully Paid,Good Loans
1063958, 60 months,D,community colleges of spokane,4,other,Current,Good Loans
1041756, 60 months,B,barnes distribution,0,car,Fully Paid,Good Loans
1068694, 36 months,D,phoenix newspapers inc.,9,debt_consolidation,Fully Paid,Good Loans
1068792, 36 months,C,lithia motors,4,debt_consolidation,Fully Paid,Good Loans
1068558, 36 months,B,insight global,0,credit_card,Fully Paid,Good Loans
1068322, 36 months,B,winghouse corporation,3,credit_card,Fully Paid,Good Loans
1065674, 60 months,E,claret wine bar,3,debt_consolidation,Fully Paid,Good Loans
1068547, 36 months,B,o'connor,10,medical,Fully Paid,Good Loans
1068545, 36 months,B,harris,4,debt_consolidation,Fully Paid,Good Loans
1068575, 60 months,F,ossi,6,credit_card,Current,Good Loans
1049528, 60 months,B,ncs technologies,4,debt_consolidation,Fully Paid,Good Loans
1068542, 60 months,D,travelers insurance,7,credit_card,Charged Off,Bad Loans
1068350, 36 months,A,j&j steel inc,10,car,Fully Paid,Good Loans
1067874, 60 months,B,anadarko petroleum corporation,0,major_purchase,Current,Good Loans
1068509, 36 months,B,sunrise senior living,2,debt_consolidation,Charged Off,Bad Loans
1034693, 60 months,D,menards,7,debt_consolidation,Current,Good Loans
1068508, 36 months,A,a touch of italy,8,debt_consolidation,Fully Paid,Good Loans
1066641, 36 months,B,new york living solutions,6,credit_card,Fully Paid,Good Loans
1068315, 36 months,A,natex architects,7,credit_card,Fully Paid,Good Loans
1068309, 60 months,D,texas health & human services commission,10,debt_consolidation,Charged Off,Bad Loans
1068326, 36 months,B,city of newport beach,10,debt_consolidation,Fully Paid,Good Loans
1066767, 36 months,C,becker construction corporation,10,debt_consolidation,Fully Paid,Good Loans
1068484, 36 months,C,edward jones,5,debt_consolidation,Fully Paid,Good Loans
1068292, 36 months,B,monroe dispat,10,vacation,Fully Paid,Good Loans
1068273, 36 months,A,employer not mentioned,8,small_business,Fully Paid,Good Loans
1068274, 36 months,A,east baton rouge parish school system,8,debt_consolidation,Fully Paid,Good Loans
1068440, 60 months,F,charlotte regional medical center,3,debt_consolidation,Fully Paid,Good Loans
1046456, 36 months,B,opw fuel management systems,5,debt_consolidation,Fully Paid,Good Loans
1068012, 36 months,D,gucci group/ yves saint laurent,1,credit_card,Charged Off,Bad Loans
1055725, 36 months,B,wal-mart,9,credit_card,Fully Paid,Good Loans
1061814, 36 months,A,renal support network,6,debt_consolidation,Fully Paid,Good Loans
1068232, 36 months,B,"avon protection systems, inc.",2,debt_consolidation,Fully Paid,Good Loans
1068405, 36 months,A,ram dme,1,debt_consolidation,Fully Paid,Good Loans
1068395, 36 months,B,samuraisushi restaurant,1,debt_consolidation,Fully Paid,Good Loans
1068202, 60 months,C,midnight,10,credit_card,Charged Off,Bad Loans
1068006, 36 months,B,"pacific wood laminates, inc.",4,debt_consolidation,Charged Off,Bad Loans
1068075, 36 months,B,albert einstein college of medicine,3,debt_consolidation,Fully Paid,Good Loans
1065642, 36 months,B,mwh americas,4,debt_consolidation,Fully Paid,Good Loans
1068179, 60 months,E,american airlines,10,debt_consolidation,Charged Off,Bad Loans
1068158, 36 months,A,united states air force,10,debt_consolidation,Fully Paid,Good Loans
1068180, 36 months,C,united states air force,7,debt_consolidation,Fully Paid,Good Loans
1065673, 60 months,E,king soopers (kroger co),10,credit_card,Fully Paid,Good Loans
1068159, 36 months,A,city of los angeles,6,debt_consolidation,Fully Paid,Good Loans
1068165, 36 months,A,malvern school of medford,3,credit_card,Fully Paid,Good Loans
1059689, 36 months,B,best buy,0,credit_card,Fully Paid,Good Loans
1066215, 36 months,C,lafidale inc,8,home_improvement,Charged Off,Bad Loans
1063270, 36 months,A,dennis alleman dmd,5,medical,Fully Paid,Good Loans
1067931, 36 months,C,military,2,debt_consolidation,Fully Paid,Good Loans
1067922, 36 months,A,carroll county public schools,10,credit_card,Fully Paid,Good Loans
1067919, 36 months,A,dental tlc,4,debt_consolidation,Fully Paid,Good Loans
1068106, 36 months,B,infosys technologies ltd.,1,credit_card,Fully Paid,Good Loans
1068111, 36 months,A,aetna,10,credit_card,Charged Off,Bad Loans
1067655, 60 months,B,barnes and noble,2,debt_consolidation,Fully Paid,Good Loans
1060662, 36 months,A,wv state tax department,5,small_business,Fully Paid,Good Loans
1061304, 36 months,E,norfolk southern,1,debt_consolidation,Fully Paid,Good Loans
1068095, 36 months,B,search for common ground,2,other,Fully Paid,Good Loans
1067182, 36 months,C,kazork,4,debt_consolidation,Fully Paid,Good Loans
822464, 36 months,A,ashbrook village senior community,1,debt_consolidation,Fully Paid,Good Loans
1063526, 36 months,B,bank of the west,7,debt_consolidation,Fully Paid,Good Loans
1068091, 36 months,B,luxottica retail,2,debt_consolidation,Charged Off,Bad Loans
1068090, 60 months,E,energy northwest,4,debt_consolidation,Fully Paid,Good Loans
1068082, 60 months,E,state of georgia/united states air force,8,debt_consolidation,Fully Paid,Good Loans
1068078, 36 months,B,medin corporation,6,home_improvement,Fully Paid,Good Loans
1057633, 60 months,D,best buy,5,debt_consolidation,Fully Paid,Good Loans
1046204, 60 months,C,the mcgraw-hill companies,1,credit_card,Fully Paid,Good Loans
1067794, 36 months,B,karl strauss brewing company,8,debt_consolidation,Charged Off,Bad Loans
1067816, 36 months,D,buckhead family dentistry,5,credit_card,Fully Paid,Good Loans
1068018, 60 months,C,vons,10,credit_card,Charged Off,Bad Loans
1052996, 36 months,B,"marks & sokolov, llc",5,major_purchase,Fully Paid,Good Loans
1067818, 36 months,C,o'reilly auto parts,1,debt_consolidation,Charged Off,Bad Loans
1064842, 36 months,C,rite aid,0,debt_consolidation,Fully Paid,Good Loans
1067109, 36 months,A,cvs/pharmacy,2,credit_card,Fully Paid,Good Loans
1067971, 36 months,B,pnc financial services,2,credit_card,Fully Paid,Good Loans
1057518, 36 months,B,city of hillsboro,10,credit_card,Fully Paid,Good Loans
1067473, 60 months,C,us army,10,debt_consolidation,Fully Paid,Good Loans
1062177, 36 months,D,senior dental insurance solutions,2,house,Fully Paid,Good Loans
1067447, 36 months,B,upper valley food co-op,2,debt_consolidation,Fully Paid,Good Loans
1059412, 36 months,A,marshall realty,5,credit_card,Fully Paid,Good Loans
1062608, 36 months,C,studio 94 corp,3,car,Fully Paid,Good Loans
1067664, 36 months,B,st john hospital,2,debt_consolidation,Fully Paid,Good Loans
1067441, 36 months,C,american airlines,10,car,Fully Paid,Good Loans
1067654, 60 months,B,indian river county clerk of court,10,debt_consolidation,Fully Paid,Good Loans
1067644, 36 months,A,employer not mentioned,-1,debt_consolidation,Charged Off,Bad Loans
1062288, 36 months,B,feld entertainment,2,credit_card,Fully Paid,Good Loans
1067434, 36 months,B,mcgraw- hill,2,debt_consolidation,Fully Paid,Good Loans
1067419, 36 months,C,samsung information systems america,2,small_business,Fully Paid,Good Loans
1067601, 36 months,C,bartell drugs,4,debt_consolidation,Fully Paid,Good Loans
1067579, 36 months,B,sensus healthcare,1,debt_consolidation,Fully Paid,Good Loans
1067563, 36 months,B,walgreens,5,credit_card,Fully Paid,Good Loans
1067364, 36 months,C,edgestone real estate,5,small_business,Charged Off,Bad Loans
1067152, 36 months,D,us bank,0,debt_consolidation,Charged Off,Bad Loans
1062471, 60 months,F,independent imaging,6,debt_consolidation,Charged Off,Bad Loans
1066842, 36 months,B,express llc,10,debt_consolidation,Fully Paid,Good Loans
1067126, 60 months,B,calix,3,debt_consolidation,Charged Off,Bad Loans
1067326, 36 months,B,metlife,3,credit_card,Fully Paid,Good Loans
1066789, 36 months,B,cajon valley union school district,10,debt_consolidation,Fully Paid,Good Loans
1067324, 36 months,D,schneider national inc,10,debt_consolidation,Charged Off,Bad Loans
1067102, 36 months,D,santa clara county public defender,8,debt_consolidation,Charged Off,Bad Loans
1046969, 60 months,C,department of health,10,debt_consolidation,Current,Good Loans
1067084, 36 months,B,baylor college of medicine,2,debt_consolidation,Fully Paid,Good Loans
1067090, 36 months,B,employer not mentioned,9,credit_card,Fully Paid,Good Loans
1060875, 60 months,C,edit,7,debt_consolidation,Fully Paid,Good Loans
1067265, 36 months,B,marsh,1,debt_consolidation,Charged Off,Bad Loans
1067287, 36 months,B,aavmc,5,debt_consolidation,Fully Paid,Good Loans
1067066, 36 months,B,state of washington,10,debt_consolidation,Fully Paid,Good Loans
1067283, 36 months,B,pure flo water company,5,credit_card,Fully Paid,Good Loans
1067266, 60 months,D,city of new york,5,major_purchase,Fully Paid,Good Loans
1066635, 60 months,D,cisco systems inc.,5,home_improvement,Fully Paid,Good Loans
1067026, 36 months,A,us air force,10,debt_consolidation,Fully Paid,Good Loans
1067038, 36 months,C,corning inc.,8,other,Charged Off,Bad Loans
1067030, 36 months,B,ups,10,debt_consolidation,Fully Paid,Good Loans
1065350, 36 months,B,gilbert express,5,debt_consolidation,Fully Paid,Good Loans
1067028, 36 months,B,talbert house,4,debt_consolidation,Fully Paid,Good Loans
1061877, 36 months,C,employer not mentioned,6,debt_consolidation,Fully Paid,Good Loans
1067018, 36 months,C,kohls corporation,5,medical,Fully Paid,Good Loans
1067223, 36 months,B,"hospice peachtree, llc",10,debt_consolidation,Fully Paid,Good Loans
1067004, 36 months,C,merks bar and grill,5,debt_consolidation,Fully Paid,Good Loans
1031265, 36 months,B,itt aerospace controls,10,debt_consolidation,Charged Off,Bad Loans
1066835, 36 months,D,butte community college,3,debt_consolidation,Charged Off,Bad Loans
1067181, 36 months,B,deloitte tax llp,2,debt_consolidation,Fully Paid,Good Loans
1067179, 36 months,A,bmw,3,credit_card,Fully Paid,Good Loans
1067172, 36 months,C,eel river brewing co.,10,credit_card,Fully Paid,Good Loans
1066712, 36 months,B,johns hopkins hospital,7,debt_consolidation,Fully Paid,Good Loans
1066706, 60 months,E,united states dhs,6,debt_consolidation,Fully Paid,Good Loans
1066836, 36 months,C,the university of texas,2,moving,Fully Paid,Good Loans
1066826, 36 months,C,usd 362,0,credit_card,Fully Paid,Good Loans
1063280, 36 months,C,jpmorgan chase bank,10,debt_consolidation,Charged Off,Bad Loans
1057447, 36 months,C,windsor marketing group,1,credit_card,Fully Paid,Good Loans
1040867, 36 months,A,new view gifts & accessories,0,home_improvement,Fully Paid,Good Loans
1065232, 36 months,B,sigma relocation group,9,credit_card,Fully Paid,Good Loans
1052492, 36 months,C,best buy,4,credit_card,Fully Paid,Good Loans
1066664, 60 months,D,new jersey institute of technology (njit,10,debt_consolidation,Current,Good Loans
1066659, 60 months,D,jp morgan chase bank,2,debt_consolidation,Current,Good Loans
1066763, 36 months,B,pricewaterhousecoopers,2,debt_consolidation,Fully Paid,Good Loans
1066798, 36 months,B,san diego unified school district,0,moving,Charged Off,Bad Loans
1066639, 36 months,C,rms/iqor,0,debt_consolidation,Fully Paid,Good Loans
1066633, 36 months,C,big m inc,10,debt_consolidation,Fully Paid,Good Loans
1060644, 60 months,G,"mall spe, llc",7,debt_consolidation,Fully Paid,Good Loans
1066766, 36 months,A,"st. mary's health care system, inc.",3,debt_consolidation,Charged Off,Bad Loans
1066613, 60 months,D,pepsico,10,home_improvement,Charged Off,Bad Loans
1065648, 60 months,B,wa state vdshs,6,credit_card,Charged Off,Bad Loans
1066768, 36 months,A,vibrato grill jazz etc...,0,major_purchase,Fully Paid,Good Loans
1066617, 36 months,D,walt disney co.,10,debt_consolidation,Fully Paid,Good Loans
1062015, 36 months,B,ajel technologies inc,2,credit_card,Fully Paid,Good Loans
1066598, 36 months,B,bioscreen clinical servicesa,7,debt_consolidation,Fully Paid,Good Loans
1066503, 36 months,B,nor cal beverage,2,credit_card,Charged Off,Bad Loans
1066530, 36 months,A,penske logistics,5,credit_card,Fully Paid,Good Loans
1066520, 36 months,B,king county sheriffs office,5,other,Fully Paid,Good Loans
1065929, 36 months,A,impax laboratory,7,vacation,Fully Paid,Good Loans
1066582, 36 months,A,maroone chevrolet of west dade,10,debt_consolidation,Fully Paid,Good Loans
1066348, 36 months,A,ch robinson,0,debt_consolidation,Fully Paid,Good Loans
1061430, 60 months,F,oxyheal health group,0,debt_consolidation,Fully Paid,Good Loans
1061519, 36 months,C,social security administration - odar,1,credit_card,Fully Paid,Good Loans
1066344, 60 months,B,corbett industries,10,vacation,Charged Off,Bad Loans
1066480, 36 months,B,hillstone restaurant group,8,credit_card,Fully Paid,Good Loans
1066471, 36 months,B,city of alpharetta,10,credit_card,Fully Paid,Good Loans
1064063, 60 months,D,executive plaza,4,debt_consolidation,Current,Good Loans
1066318, 36 months,C,employer not mentioned,5,debt_consolidation,Fully Paid,Good Loans
1066453, 36 months,B,southern methodist university,5,debt_consolidation,Fully Paid,Good Loans
1063090, 36 months,B,virginiamasonmedicalcenter,4,debt_consolidation,Fully Paid,Good Loans
1061406, 36 months,A,kenover marketing,2,vacation,Fully Paid,Good Loans
1066278, 36 months,B,citizens utility board of oregon,1,debt_consolidation,Fully Paid,Good Loans
1066281, 36 months,B,philips healthcare,5,debt_consolidation,Fully Paid,Good Loans
1056150, 60 months,D,"cardinal health stafford, texas.",3,small_business,Fully Paid,Good Loans
1066434, 36 months,E,ibm,10,vacation,Fully Paid,Good Loans
1048526, 36 months,B,xoxo salon,2,debt_consolidation,Charged Off,Bad Loans
1028566, 36 months,A,dfw international airport,10,debt_consolidation,Fully Paid,Good Loans
1066424, 36 months,A,sci mahanoy,10,car,Fully Paid,Good Loans
1066212, 36 months,B,cyberpower,1,debt_consolidation,Fully Paid,Good Loans
1066232, 36 months,B,first national bank of st. louis,10,credit_card,Charged Off,Bad Loans
1056219, 36 months,A,wolverton inc.,10,debt_consolidation,Fully Paid,Good Loans
1066199, 60 months,B,sparrow health,5,home_improvement,Fully Paid,Good Loans
1060851, 60 months,B,multisensory learning academy,3,other,Fully Paid,Good Loans
972383, 36 months,A,new buck corporation,10,other,Fully Paid,Good Loans
1066191, 36 months,B,national park service,1,credit_card,Fully Paid,Good Loans
1066173, 60 months,C,gem city motors,2,debt_consolidation,Current,Good Loans
1066379, 36 months,C,quad graphics,6,debt_consolidation,Fully Paid,Good Loans
1066364, 36 months,C,st. joseph hospital,10,credit_card,Fully Paid,Good Loans
1066140, 36 months,A,musco lighting,7,other,Fully Paid,Good Loans
1066171, 36 months,B,chesapeak process service inc,4,debt_consolidation,Fully Paid,Good Loans
1066162, 36 months,A,"time escrow, inc.",7,other,Charged Off,Bad Loans
1040154, 36 months,B,employer not mentioned,2,debt_consolidation,Fully Paid,Good Loans
1066155, 60 months,E,"navistar, inc.",8,debt_consolidation,Fully Paid,Good Loans
1065382, 36 months,A,dr.boers,1,other,Fully Paid,Good Loans
1063447, 60 months,C,employer not mentioned,10,small_business,Charged Off,Bad Loans
1065932, 36 months,B,oceanside college of beauty,9,debt_consolidation,Fully Paid,Good Loans
1065936, 36 months,A,medical delivery services,1,medical,Fully Paid,Good Loans
1066112, 60 months,B,guardsmark,0,debt_consolidation,Charged Off,Bad Loans
1066084, 36 months,A,"allen flavors, inc.",9,home_improvement,Fully Paid,Good Loans
1066081, 36 months,A,employer not mentioned,10,small_business,Fully Paid,Good Loans
1065896, 36 months,A,twitch llc,5,debt_consolidation,Fully Paid,Good Loans
1066065, 36 months,A,accenture,5,credit_card,Fully Paid,Good Loans
1066071, 36 months,A,interim health care,10,debt_consolidation,Charged Off,Bad Loans
1062094, 36 months,B,bbva compass,2,debt_consolidation,Fully Paid,Good Loans
1061154, 36 months,C,dream town,4,credit_card,Fully Paid,Good Loans
1066061, 36 months,A,new england window and door,9,debt_consolidation,Fully Paid,Good Loans
1065863, 36 months,A,pepsi beverage company,5,debt_consolidation,Fully Paid,Good Loans
1065862, 36 months,B,durango & silverton narrow gauge rr,10,debt_consolidation,Fully Paid,Good Loans
1065854, 36 months,A,fofg,3,debt_consolidation,Fully Paid,Good Loans
1065145, 60 months,C,latique handbag,1,credit_card,Current,Good Loans
1062260, 36 months,C,tubecityims,10,debt_consolidation,Fully Paid,Good Loans
1065842, 36 months,B,fairfax county government,6,debt_consolidation,Fully Paid,Good Loans
1066018, 36 months,B,employer not mentioned,6,debt_consolidation,Fully Paid,Good Loans
1049352, 36 months,B,"the holmes organisation, inc.",1,house,Fully Paid,Good Loans
1066016, 36 months,A,kearny ferderal savings bank,7,debt_consolidation,Fully Paid,Good Loans
1065997, 36 months,D,the reis group,10,debt_consolidation,Fully Paid,Good Loans
1061891, 36 months,B,pwc,3,debt_consolidation,Fully Paid,Good Loans
1065752, 36 months,B,city & county of san francisco,9,debt_consolidation,Fully Paid,Good Loans
1063126, 36 months,B,neil nakai inc.,10,other,Fully Paid,Good Loans
1065738, 36 months,A,pilot fregith services,10,credit_card,Fully Paid,Good Loans
1061467, 36 months,B,louis vuitton,1,credit_card,Fully Paid,Good Loans
1065721, 36 months,B,the university club,10,credit_card,Fully Paid,Good Loans
1065717, 36 months,B,draft fcb,1,credit_card,Fully Paid,Good Loans
1065026, 36 months,D,st. rose san martin,5,credit_card,Charged Off,Bad Loans
1057001, 60 months,B,employer not mentioned,3,small_business,Charged Off,Bad Loans
1065513, 60 months,D,old republic home protection,6,home_improvement,Charged Off,Bad Loans
1065698, 36 months,B,university primary care,2,credit_card,Fully Paid,Good Loans
1065681, 36 months,C,raytheon,6,debt_consolidation,Fully Paid,Good Loans
1061788, 60 months,E,federal,10,debt_consolidation,Charged Off,Bad Loans
1065484, 36 months,D,crown plaza manhattan,10,credit_card,Fully Paid,Good Loans
1061681, 60 months,E,prospect transportation inc.,5,debt_consolidation,Fully Paid,Good Loans
1065661, 36 months,A,simple finance technology corp.,1,debt_consolidation,Fully Paid,Good Loans
1065663, 36 months,B,city of capitola,6,debt_consolidation,Fully Paid,Good Loans
1065480, 36 months,B,prairie du chien memorial hospital,5,credit_card,Fully Paid,Good Loans
1065658, 36 months,C,choate investment advisors,3,debt_consolidation,Fully Paid,Good Loans
1065447, 36 months,A,southeastern technical college,0,debt_consolidation,Fully Paid,Good Loans
1065470, 36 months,B,ah interiors inc.,5,debt_consolidation,Fully Paid,Good Loans
1065467, 60 months,E,responsive learning technologies,3,credit_card,Charged Off,Bad Loans
1065649, 60 months,E,kings county district attorney's office,10,debt_consolidation,Charged Off,Bad Loans
1065430, 36 months,B,americare,3,other,Fully Paid,Good Loans
1059462, 36 months,A,fisher scientific,3,credit_card,Fully Paid,Good Loans
1064102, 60 months,C,level 3 communications,10,debt_consolidation,Charged Off,Bad Loans
1062399, 60 months,D,nexcom,1,debt_consolidation,Charged Off,Bad Loans
1065572, 36 months,D,nutrasweet,2,debt_consolidation,Fully Paid,Good Loans
1065567, 36 months,C,qualtek manufacturing,3,credit_card,Fully Paid,Good Loans
1065342, 60 months,C,micro/sys,2,credit_card,Current,Good Loans
1065355, 36 months,B,newark public schools,5,credit_card,Fully Paid,Good Loans
1058717, 60 months,D,employer not mentioned,-1,debt_consolidation,Fully Paid,Good Loans
1065348, 36 months,B,the newell group,2,debt_consolidation,Charged Off,Bad Loans
890389, 36 months,A,virginia tech,5,other,Fully Paid,Good Loans
1065142, 60 months,E,aspens water and sewer district,10,debt_consolidation,Current,Good Loans
1065320, 60 months,E,institute for family health,3,credit_card,Current,Good Loans
1065304, 36 months,B,shaws,10,debt_consolidation,Charged Off,Bad Loans
1065180, 36 months,C,state of mass. dds,10,other,Fully Paid,Good Loans
1065298, 36 months,C,patriot general,3,debt_consolidation,Fully Paid,Good Loans
1064904, 36 months,B,jacobs engineering,6,debt_consolidation,Fully Paid,Good Loans
1064696, 36 months,A,"agora, inc.",0,debt_consolidation,Fully Paid,Good Loans
977277, 60 months,B,the woodlands financial group,2,debt_consolidation,Current,Good Loans
1065260, 36 months,B,above the title ent.,2,credit_card,Fully Paid,Good Loans
1059734, 60 months,D,chester mental health center,7,credit_card,Current,Good Loans
1065110, 60 months,D,fed govt-environmental protection agency,8,debt_consolidation,Fully Paid,Good Loans
1047987, 60 months,C,vw of orchard park,2,home_improvement,Fully Paid,Good Loans
1065104, 60 months,B,industrial design and contruccion,7,home_improvement,Current,Good Loans
1065103, 36 months,B,chevron station,5,credit_card,Charged Off,Bad Loans
1065254, 36 months,A,tech data corp,10,car,Charged Off,Bad Loans
1064873, 36 months,B,city of mattoon,9,debt_consolidation,Fully Paid,Good Loans
1065244, 36 months,C,jim kearney- state farm,7,credit_card,Fully Paid,Good Loans
1064969, 36 months,C,walgreen co,5,debt_consolidation,Fully Paid,Good Loans
1059620, 36 months,B,firestone complete auto care,10,debt_consolidation,Charged Off,Bad Loans
1032978, 36 months,D,black and veatch,0,debt_consolidation,Fully Paid,Good Loans
1065234, 36 months,B,giorgio  armani,10,debt_consolidation,Fully Paid,Good Loans
1064958, 60 months,E,us army,8,home_improvement,Fully Paid,Good Loans
1065196, 36 months,B,grey goose restaurant,2,debt_consolidation,Charged Off,Bad Loans
1065199, 36 months,C,cardinal logistics,7,debt_consolidation,Fully Paid,Good Loans
1065195, 36 months,B,regal cinemas,5,debt_consolidation,Fully Paid,Good Loans
1065020, 36 months,A,areres bais yaakov,10,debt_consolidation,Fully Paid,Good Loans
1065016, 60 months,D,us army corps of engineers,2,debt_consolidation,Fully Paid,Good Loans
